time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-12T03:59:25.020Z,36.008,-118.3966667,5.59,1.57,ml,17,87,0.2997,0.21,ci,ci38057343,2018-09-12T04:10:26.060Z,"28km N of Kernville, CA",earthquake,0.47,3.56,0.236,21,automatic,ci,ci
2018-09-12T03:17:13.016Z,60.0112,-152.0896,70.8,1,ml,,,,0.35,ak,ak20251852,2018-09-12T03:19:51.479Z,"29km NNW of Anchor Point, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-09-12T02:35:28.850Z,14.9348,-93.9511,35,4.8,mb,,170,2.202,1.04,us,us2000hd7p,2018-09-12T04:19:02.649Z,"112km SSW of Tres Picos, Mexico",earthquake,8.6,2,0.029,360,reviewed,us,us
2018-09-12T02:23:30.522Z,68.7082,-148.6714,0.1,2.2,ml,,,,1.05,ak,ak20251836,2018-09-12T02:30:04.840Z,"140km ENE of Anaktuvuk Pass, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-09-12T02:14:27.800Z,19.3948326,-155.281662,-0.05,2.23,ml,20,41,0.007588,0.18,hv,hv70589187,2018-09-12T02:20:20.350Z,"6km SW of Volcano, Hawaii",earthquake,0.19,0.28,0.25,13,automatic,hv,hv
2018-09-12T02:10:56.130Z,18.1516,-67.2391,18,2.66,md,19,177,0.1148,0.22,pr,pr2018255000,2018-09-12T04:34:29.510Z,"10km NNW of Puerto Real, Puerto Rico",earthquake,0.67,0.48,0.38,18,reviewed,pr,pr
2018-09-12T02:06:13.040Z,36.7753,-115.6308,5.4,0.5,ml,9,286.68,0.283,0.05,nn,nn00656196,2018-09-12T02:09:35.782Z,"70km NNE of Pahrump, Nevada",earthquake,,9.2,,,automatic,nn,nn
2018-09-12T01:58:53.598Z,68.7119,-148.6304,0,2.2,ml,,,,1,ak,ak20251832,2018-09-12T02:10:31.268Z,"142km ENE of Anaktuvuk Pass, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-12T01:54:28.928Z,62.5588,-151.2353,93.7,1.9,ml,,,,0.29,ak,ak20251830,2018-09-12T01:58:39.038Z,"63km WNW of Talkeetna, Alaska",earthquake,,1.3,,,automatic,ak,ak
2018-09-12T01:52:16.244Z,63.2028,-150.8457,123.9,1.6,ml,,,,0.51,ak,ak20251825,2018-09-12T01:56:58.496Z,"97km WSW of Cantwell, Alaska",earthquake,,1,,,automatic,ak,ak
2018-09-12T01:51:53.510Z,33.6068333,-116.682,2.16,1.04,ml,19,64,0.06977,0.28,ci,ci38057287,2018-09-12T01:55:52.298Z,"6km N of Anza, CA",earthquake,0.48,0.63,0.134,25,automatic,ci,ci
2018-09-12T01:51:50.960Z,33.4856667,-116.7843333,5.65,0.56,ml,28,72,0.02981,0.16,ci,ci38057279,2018-09-12T01:55:35.816Z,"9km ENE of Aguanga, CA",earthquake,0.22,0.72,0.15,8,automatic,ci,ci
2018-09-12T01:31:54.050Z,36.1025,-120.6758333,5.11,1.11,md,20,89,0.03974,0.08,nc,nc73083465,2018-09-12T02:04:04.610Z,"22km ENE of San Ardo, CA",earthquake,0.38,0.56,0.304,12,reviewed,nc,nc
2018-09-12T01:29:54.925Z,59.6237,-152.4816,74.7,1.1,ml,,,,0.37,ak,ak20251821,2018-09-12T01:32:04.490Z,"40km WSW of Anchor Point, Alaska",earthquake,,1.8,,,automatic,ak,ak
2018-09-12T01:21:46.810Z,33.4908333,-116.7766667,7.67,0.6,ml,13,71,0.1031,0.16,ci,ci38057255,2018-09-12T01:25:22.282Z,"10km ENE of Aguanga, CA",earthquake,0.34,1.48,0.087,11,automatic,ci,ci
2018-09-12T01:18:10.250Z,36.035,-120.609,0.95,1.12,md,25,99,0.0353,0.07,nc,nc73083460,2018-09-12T02:50:02.884Z,"22km NW of Parkfield, CA",earthquake,0.42,1.78,0.365,9,reviewed,nc,nc
2018-09-12T01:14:43.020Z,19.3956661,-155.274826,0.65,1.75,md,16,48,0.001155,0.11,hv,hv70589097,2018-09-12T01:17:50.820Z,"5km SW of Volcano, Hawaii",earthquake,0.23,0.31,0.21,12,automatic,hv,hv
2018-09-12T01:01:32.714Z,68.7334,-148.6306,0.1,2,ml,,,,1.62,ak,ak20251818,2018-09-12T01:13:51.824Z,"143km ENE of Anaktuvuk Pass, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-09-12T00:59:45.955Z,68.7483,-148.2923,0,2.1,ml,,,,0.83,ak,ak20251815,2018-09-12T01:04:29.690Z,"132km WNW of Arctic Village, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-09-12T00:54:11.834Z,68.7044,-148.3794,0,1.8,ml,,,,1.01,ak,ak20251812,2018-09-12T01:02:49.182Z,"133km WNW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-12T00:49:13.270Z,33.998333,-117.3043365,4.1,0.96,ml,8,119,0.1531,0.19,ci,ci38057247,2018-09-12T00:53:06.533Z,"4km SSE of Grand Terrace, CA",earthquake,2.76,13.2,0.382,10,automatic,ci,ci
2018-09-12T00:40:47.105Z,69.3214,-144.1591,3.1,2.6,ml,,,,0.69,ak,ak20251803,2018-09-12T01:01:08.590Z,"92km SSW of Kaktovik, Alaska",earthquake,,3.1,,,automatic,ak,ak
2018-09-12T00:31:55.890Z,33.5016667,-116.7976667,2.65,1.22,ml,38,44,0.01091,0.21,ci,ci38057239,2018-09-12T00:35:33.437Z,"9km NE of Aguanga, CA",earthquake,0.22,0.44,0.155,26,automatic,ci,ci
2018-09-12T00:29:40.508Z,68.953,-146.574,0,2.1,ml,,,,0.69,ak,ak20251775,2018-09-12T00:51:15.634Z,"101km NNW of Arctic Village, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-09-12T00:29:37.336Z,60.1192,-140.6627,0,1.4,ml,,,,0.73,ak,ak20251773,2018-09-12T00:33:51.261Z,"82km NW of Yakutat, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-12T00:28:12.420Z,45.6902,149.9444,112.42,5,mb,,133,5.135,1.06,us,us2000hd70,2018-09-12T00:46:56.040Z,"169km ENE of Kuril'sk, Russia",earthquake,9.7,7.4,0.024,574,reviewed,us,us
2018-09-12T00:26:21.196Z,39.5447,-119.1998,9.1,2.4,ml,25,107.8,0.219,0.1551,nn,nn00656184,2018-09-12T00:51:17.198Z,"8km SSE of Fernley, Nevada",earthquake,,2,0.31,12,reviewed,nn,nn
2018-09-12T00:22:35.770Z,33.4993333,-116.79,3.94,0.97,ml,24,84,0.01562,0.22,ci,ci38057231,2018-09-12T00:26:13.383Z,"9km NE of Aguanga, CA",earthquake,0.32,0.68,0.139,22,automatic,ci,ci
2018-09-12T00:20:20.750Z,33.4993333,-116.7631667,10.58,0.27,ml,16,71,0.09411,0.18,ci,ci38057223,2018-09-12T00:24:07.241Z,"10km SW of Anza, CA",earthquake,0.35,0.98,0.02,2,automatic,ci,ci
2018-09-12T00:17:46.166Z,59.8188,-152.085,30.8,1.1,ml,,,,0.98,ak,ak20251769,2018-09-12T00:20:58.573Z,"14km WNW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-12T00:08:33.198Z,68.917,-147.7709,1.6,2.5,ml,,,,0.66,ak,ak20251761,2018-09-12T00:16:17.362Z,"126km NW of Arctic Village, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-12T00:04:36.380Z,68.8709,-147.7739,0,2.1,ml,,,,0.7,ak,ak20251758,2018-09-12T00:16:17.657Z,"123km NW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-11T23:51:50.712Z,60.1292,-152.8226,105.8,1.3,ml,,,,0.28,ak,ak20251750,2018-09-11T23:55:01.764Z,"39km S of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-11T23:45:08.480Z,36.3441,76.3652,73.21,4.5,mb,,80,3.698,0.89,us,us2000hd6d,2018-09-12T00:08:53.040Z,"132km N of Khapalu, Pakistan",earthquake,7.4,7.4,0.072,56,reviewed,us,us
2018-09-11T23:43:39.750Z,19.348,-154.9663333,1.81,2.77,ml,43,209,0.09245,0.11,hv,hv70588987,2018-09-12T01:09:31.020Z,"14km SSW of Leilani Estates, Hawaii",earthquake,0.7,0.64,0.131,44,reviewed,hv,hv
2018-09-11T23:40:05.020Z,33.5191667,-116.664,0.08,0.9,ml,8,126,0.1175,0.32,ci,ci38057207,2018-09-11T23:43:48.354Z,"4km SSE of Anza, CA",earthquake,1.22,31.61,0.201,15,automatic,ci,ci
2018-09-11T23:32:39.910Z,38.8141667,-122.7858333,1.43,1.92,md,47,37,0.004123,0.05,nc,nc73083435,2018-09-12T03:23:15.124Z,"5km NNW of The Geysers, CA",earthquake,0.11,0.2,0.282,16,reviewed,nc,nc
2018-09-11T23:24:03.480Z,38.8125,-122.785,1.57,2,md,54,42,0.003455,0.06,nc,nc73083430,2018-09-12T01:53:03.552Z,"5km NNW of The Geysers, CA",earthquake,0.11,0.17,0.143,18,reviewed,nc,nc
2018-09-11T23:24:02.950Z,51.8956,-169.4974,26.92,2.5,ml,,304,0.903,0.56,us,us2000hd6i,2018-09-12T00:17:17.040Z,"115km SE of Yunaska Island, Alaska",earthquake,10,18.7,,,reviewed,us,ak
2018-09-11T23:18:04.669Z,64.9888,-147.3853,0,1.1,ml,,,,0.58,ak,ak20251744,2018-09-11T23:21:56.506Z,"22km NNE of Badger, Alaska",earthquake,,22.1,,,automatic,ak,ak
2018-09-11T22:52:33.059Z,68.9156,-147.4856,0.2,1.7,ml,,,,0.7,ak,ak20251731,2018-09-11T23:05:44.194Z,"118km NW of Arctic Village, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-09-11T22:50:38.308Z,68.93,-147.7434,0,1.9,ml,,,,0.73,ak,ak20251730,2018-09-11T23:04:03.662Z,"127km NW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-11T22:43:51.780Z,35.9998333,-120.565,3.3,0.46,md,18,86,0.02493,0.1,nc,nc73083425,2018-09-11T22:50:27.436Z,"16km NW of Parkfield, CA",earthquake,0.28,0.56,0.125,5,reviewed,nc,nc
2018-09-11T22:41:42.109Z,64.5547,-147.8362,10.9,1.6,ml,,,,0.52,ak,ak20251723,2018-09-11T22:49:50.189Z,"30km SSW of Badger, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-09-11T22:39:13.980Z,18.4105,-67.139,25,1.93,md,5,209,0.0634,0.25,pr,pr2018254012,2018-09-12T00:09:59.608Z,"2km SE of Aguadilla, Puerto Rico",earthquake,1.64,1.59,0.32,5,reviewed,pr,pr
2018-09-11T22:35:14.970Z,37.6253333,-118.9353333,5.25,0.73,md,10,119,0.02068,0.05,nc,nc73083420,2018-09-11T22:46:56.576Z,"4km ESE of Mammoth Lakes, CA",earthquake,0.54,0.54,0.128,8,reviewed,nc,nc
2018-09-11T22:35:10.847Z,36.6934,-116.2748,3.1,0.3,ml,26,84.26,0.061,0.1356,nn,nn00656173,2018-09-12T02:06:26.258Z,"49km ESE of Beatty, Nevada",earthquake,,1.6,0.32,15,reviewed,nn,nn
2018-09-11T22:35:03.630Z,36.0665,-121.0701667,7.42,0.87,md,12,127,0.07918,0.04,nc,nc73083415,2018-09-11T22:45:25.760Z,"8km SSW of San Lucas, CA",earthquake,0.75,1.2,0.197,7,reviewed,nc,nc
2018-09-11T22:31:42.030Z,37.6598333,-118.8691667,3.7,0.77,md,10,228,0.02683,0.03,nc,nc73083410,2018-09-11T23:37:03.616Z,"10km ENE of Mammoth Lakes, CA",earthquake,1.1,1.05,0.086,9,reviewed,nc,nc
2018-09-11T22:28:10.133Z,55.8697,-153.2934,10,2.8,ml,,,,0.81,ak,ak20251718,2018-09-11T22:42:48.040Z,"145km E of Chirikof Island, Alaska",earthquake,,1,,,automatic,ak,ak
2018-09-11T22:23:36.387Z,55.9518,-153.2924,13.9,3.1,ml,,,,0.72,ak,ak20251714,2018-09-11T22:37:15.040Z,"146km E of Chirikof Island, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-11T22:16:04.980Z,18.9,-67.6093,4,2.68,md,13,229,0.5317,0.53,pr,pr2018254013,2018-09-12T00:10:27.528Z,"70km NW of San Antonio, Puerto Rico",earthquake,1.9,1.99,0.33,9,reviewed,pr,pr
2018-09-11T22:13:06.998Z,64.0472,-148.876,0,2.3,ml,,,,0.79,ak,ak20251705,2018-09-11T22:18:43.339Z,"21km NNE of Healy, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-09-11T22:09:51.920Z,19.3973333,-155.2783333,0.38,2.16,ml,31,40,0.00484,0.1,hv,hv70588927,2018-09-11T23:00:04.970Z,"5km SW of Volcano, Hawaii",earthquake,0.12,0.13,0.141,15,reviewed,hv,hv
2018-09-11T21:53:12.983Z,60.1739,-141.0701,9.6,0.4,ml,,,,0.47,ak,ak20251700,2018-09-11T22:15:21.606Z,"76km E of Cape Yakataga, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-09-11T21:50:36.243Z,60.0321,-141.1054,0,1.1,ml,,,,0.8,ak,ak20251697,2018-09-11T21:53:28.236Z,"73km E of Cape Yakataga, Alaska",earthquake,,0.6,,,automatic,ak,ak
